Latitude	Longitude	Year	Month	Time	GS	Customers	Country
55.461629	9.61552	2022	4	2022-04-01	335.984	2	DK
61.225365	21.972016	2022	5	2022-05-01	2336.1716	4	FI
50.975762	5.835765	2022	8	2022-08-01	230.8263	1	NL
52.531375	6.064822	2022	4	2022-04-01	245.6652	1	All
53.360662	12.58377	2022	5	2022-05-01	1470.63	3	DE
50.216046	8.401313	2022	10	2022-10-01	449.98	3	All
41.878737	12.454958	2022	12	2022-12-01	610.602	1	IT
51.250913	12.766837	2022	7	2022-07-01	2833.9785	4	DE
55.669809	12.55973	2022	11	2022-11-01	1180.536	3	DK
53.088881	8.809335	2022	11	2022-11-01	15497.8548	20	All
48.641601	10.3064	2023	1	2023-01-01	500.193	1	DE
48.748791	9.082376	2022	6	2022-06-01	381.6635	2	All
58.6	6.116699	2022	6	2022-06-01	436.744	1	NO
51.418126	5.512347	2022	6	2022-06-01	1692.4404	1	NL
51.808144	5.836783	2022	3	2022-03-01	984.8148	2	All
52.37916	4.893262	2022	9	2022-09-01	983.847	2	All
45.586786	8.941835	2022	11	2022-11-01	1743.7166	3	All
48.437107	11.84957	2022	5	2022-05-01	732.037	3	All
50.856097	5.690261	2022	5	2022-05-01	246.148	2	All
51.837992	5.841665	2022	9	2022-09-01	3183.973	1	All
51.485161	5.669005	2022	12	2022-12-01	215.4339	1	All
47.906089	11.782046	2022	9	2022-09-01	906.963	3	DE
51.879882	5.134882	2022	11	2022-11-01	307.7595	1	All
50.235625	11.378893	2022	5	2022-05-01	3362.1842	4	DE
51.457501	6.083304	2022	6	2022-06-01	215.454	1	All
54.460163	9.549379	2022	6	2022-06-01	435.378	2	All
50.73975	6.46444	2022	8	2022-08-01	5069.6574	7	DE
54.71155	11.457269	2022	7	2022-07-01	4894.952	10	DK
52.416044	5.873048	2022	6	2022-06-01	1535.8056	1	NL
50.347605	4.350136	2022	5	2022-05-01	3125.1357	2	BE
52.248723	6.91207	2022	12	2022-12-01	492.5001	1	All
48.929574	9.25061	2022	7	2022-07-01	3610.5646	4	DE
51.542075	5.182721	2022	9	2022-09-01	200.0407	1	All
50.855964	9.924214	2022	9	2022-09-01	800.545	2	All
63.044815	26.472309	2022	7	2022-07-01	605.071	2	FI
46.645896	11.179547	2022	9	2022-09-01	732.633	3	All
56.549999	13.716699	2022	2	2022-02-01	548.3248	1	SE
48.03063	15.47299	2022	6	2022-06-01	248.3085	1	All
49.029507	2.024466	2022	10	2022-10-01	291.6675	1	All
48.796899	8.815847	2022	10	2022-10-01	344.19	1	DE
50.686194	4.367934	2022	3	2022-03-01	738.8165	1	All
52.65026	4.84007	2022	10	2022-10-01	547.1116	1	All
61.432803	29.360507	2022	6	2022-06-01	1966.7977	3	FI
39.604299	-0.834758	2022	5	2022-05-01	123.074	1	All
51.99121	4.207349	2022	11	2022-11-01	473.5354	1	NL
50.79828	3.50084	2022	3	2022-03-01	123.074	1	BE
52.319114	4.979062	2022	6	2022-06-01	737.9188	1	All
48.731086	9.507597	2023	1	2023-01-01	876.418	1	DE
52.316907	4.967931	2022	11	2022-11-01	430.908	1	NL
51.808446000000004	4.67871	2022	2	2022-02-01	369.298	1	NL
50.78023	4.77254	2022	3	2022-03-01	461.6765	2	BE
46.865382	7.12384	2022	7	2022-07-01	2175.32	6	CH
48.223889	6.053707	2022	4	2022-04-01	620.734	1	All
49.356222	11.317399	2022	8	2022-08-01	2699.7175	4	All
41.386385	2.143598	2022	4	2022-04-01	387.7725	2	All
51.830841	4.160468	2022	8	2022-08-01	400.0203	1	All
52.881162	11.487571	2022	3	2022-03-01	982.655	4	DE
52.209968	5.933874	2023	1	2023-01-01	147.7685	1	NL
51.943946	10.219982	2022	4	2022-04-01	750.288	2	DE
55.641489	12.08042	2022	7	2022-07-01	159490.928	269	DK
51.895301	5.900199	2022	4	2022-04-01	1875.3654	1	All
52.387149	4.6224	2022	10	2022-10-01	219.8055	1	NL
52.618807	4.752513	2022	9	2022-09-01	83.0675	1	All
51.318742	3.845581	2022	6	2022-06-01	1354.1739	1	NL
47.261257	9.504294	2022	10	2022-10-01	356.16	1	All
51.267441	5.135191	2022	6	2022-06-01	831.0125	1	All
52.156424	5.377476	2022	8	2022-08-01	215.4339	1	All
48.874576	2.48634	2022	5	2022-05-01	372.4255	2	All
51.438463	5.43756	2023	1	2023-01-01	877.0759	2	All
37.772478	12.878777	2022	9	2022-09-01	243.9875	1	IT
45.990019	8.34563	2022	3	2022-03-01	244.211	1	IT
52.53746	6.090437	2022	4	2022-04-01	1792.4291	1	All
60.570213	23.731555	2022	9	2022-09-01	4602.2939	1	All
50.718332	13.190739	2022	6	2022-06-01	125.16	1	DE
47.087478	9.369477	2022	8	2022-08-01	142.31	1	All
50.58442	5.28165	2022	12	2022-12-01	1477.5585	3	All
44.816889	11.308296	2022	4	2022-04-01	900.9285	3	All
53.524836	11.594019	2022	9	2022-09-01	1912.0784	1	All
61.498631	21.913557	2022	4	2022-04-01	870.9274	1	All
51.892397	5.606761	2022	3	2022-03-01	1015.599	1	All
53.60485	10.043382	2022	2	2022-02-01	4362.2091	9	All
51.692639	4.998373	2022	4	2022-04-01	209.2154	1	All
52.183122	4.842093	2023	1	2023-01-01	895.8425	1	NL
52.389458	4.957467	2022	4	2022-04-01	393.5567	1	NL
52.071548	6.322031	2022	6	2022-06-01	430.908	2	NL
59.1677	18.1448	2022	10	2022-10-01	21243.8952	34	SE
50.345915	7.08177	2022	10	2022-10-01	2925.347	5	All
51.26662	3.902912	2022	2	2022-02-01	261.644	1	All
51.74712	5.224972	2022	6	2022-06-01	215.454	1	All
46.187072	8.850544	2022	6	2022-06-01	2075.29	3	CH
53.18503	10.945903	2022	9	2022-09-01	2378.4894	1	DE
57.7312	12.0699	2022	3	2022-03-01	11517.8851	18	SE
51.516545	6.709373	2022	3	2022-03-01	2105.5143	7	DE
51.68953	5.987607	2022	8	2022-08-01	153.8425	1	NL
53.693029	10.345138	2022	7	2022-07-01	732.2605	3	DE
53.298933	10.048852	2022	10	2022-10-01	976.4715	3	DE
50.833808	8.312026	2022	4	2022-04-01	563.0814	2	All
49.024235	11.536311	2022	11	2022-11-01	234.675	1	DE
43.32201	2.356603	2022	4	2022-04-01	248.0105	1	All
50.919187	9.078371	2022	7	2022-07-01	544.2225	2	DE
56.394959	9.892469	2022	12	2022-12-01	24282.072	56	DK
60.733299	15	2022	5	2022-05-01	247.4765	1	SE
43.874625	12.867234	2022	5	2022-05-01	268.5725	2	IT
51.251638	4.035525	2022	7	2022-07-01	88.8785	1	All
52.282644	4.587223	2022	4	2022-04-01	246.2188	1	All
52.788641	4.786044	2022	12	2022-12-01	738.7196	1	NL
56.666699	14.2667	2022	2	2022-02-01	348.1164	1	All
51.808283	5.43499	2022	10	2022-10-01	430.908	1	All
49.550203	7.885074	2022	11	2022-11-01	1675.7443	1	All
55.66648	12.539239	2022	3	2022-03-01	2571.68	6	All
52.965296	7.336733	2022	7	2022-07-01	2852.8092	8	All
52.087444	4.872959	2022	6	2022-06-01	984.8766	1	All
51.873649	4.46583	2022	11	2022-11-01	800.13	4	All
59.2167	10.9	2022	4	2022-04-01	4221.3808	10	NO
53.587484	7.624405	2023	1	2023-01-01	2572.275	4	All
54.286404	9.702504	2022	12	2022-12-01	2286.154	3	DE
48.221049	8.653645	2023	1	2023-01-01	1526.6764	5	DE
47.56148	13.64122	2022	4	2022-04-01	186.1755	1	All
44.838305	11.619658	2022	6	2022-06-01	366.3165	1	IT
51.369261	6.150079	2023	1	2023-01-01	246.157	1	All
55.46448	10.01857	2022	3	2022-03-01	3362.682	6	All
49.986108	10.588133	2022	7	2022-07-01	125.16	1	All
62.379999	25.597461	2022	2	2022-02-01	601.1046	1	FI
48.798322	2.309899	2022	12	2022-12-01	397.3085	1	FR
57.2646	16.448399	2022	11	2022-11-01	2804.0709	4	All
55.68361	12.53908	2022	9	2022-09-01	1791.656	2	All
47.749163	7.3257	2022	11	2022-11-01	400.363	2	All
52.287683	5.961378	2022	5	2022-05-01	215.4339	1	NL
60.188086	24.958871	2022	10	2022-10-01	10175.3228	14	FI
51.817128	4.774719	2022	4	2022-04-01	1068.488	1	All
52.204287	5.382914	2022	7	2022-07-01	470.9145	2	All
